Trial,S1_A_val,S1_A_std,S1_B_val,S2_A_val,S2_A_std,S2_B_val
1,-10,0.175,10,-5.0,0,-5.0
2,-10,0.175,10,-5.0,0,-5.0
3,-10,0.175,10,-5.0,0,-5.0
4,-10,0.175,10,-5.0,0,-5.0
5,-10,0.175,10,-5.0,0,-5.0
6,-10,0.175,10,-5.0,0,-5.0
7,-10,0.175,10,-5.0,0,-5.0
8,-10,0.175,10,-5.0,0,-5.0
9,-10,0.175,10,-5.0,0,-5.0
10,-10,0.175,10,-5.0,0,-5.0
11,-10,0.175,10,-5.0,0,-5.0
12,-10,0.175,10,-5.0,0,-5.0
13,-10,0.175,10,-5.0,0,-5.0
14,-10,0.175,10,-5.0,0,-5.0
15,-10,0.175,10,-5.0,0,-5.0
16,-10,0.175,10,-5.0,0,-5.0
17,-10,0.175,10,-5.0,0,-5.0
18,-10,0.175,10,-5.0,0,-5.0
19,-10,0.175,10,-5.0,0,-5.0
20,-10,0.175,10,-5.0,0,-5.0
21,-10,0.175,10,-5.0,0,-5.0
22,-10,0.175,10,-5.0,0,-5.0
23,-10,0.175,10,-5.0,0,-5.0
24,-10,0.175,10,-5.0,0,-5.0
25,-10,0.175,10,-5.0,0,-5.0
26,-10,0.175,10,-5.0,0,-5.0
27,-10,0.175,10,-5.0,0,-5.0
28,-10,0.175,10,-5.0,0,-5.0
29,-10,0.175,10,-5.0,0,-5.0
30,-10,0.175,10,-5.0,0,-5.0
31,-10,0.175,10,-5.0,0,-5.0
32,-10,0.175,10,-5.0,0,-5.0
33,-10,0.175,10,-5.0,0,-5.0
34,-10,0.175,10,-5.0,0,-5.0
35,-10,0.175,10,-5.0,0,-5.0
36,-10,0.175,10,-5.0,0,-5.0
37,-10,0.175,10,-5.0,0,-5.0
38,-10,0.175,10,-5.0,0,-5.0
39,-10,0.175,10,-5.0,0,-5.0
40,-10,0.175,10,-5.0,0,-5.0
41,-10,0.175,10,-5.0,0,-5.0
42,-10,0.175,10,-5.0,0,-5.0
43,-10,0.175,10,-5.0,0,-5.0
44,-10,0.175,10,-5.0,0,-5.0
45,-10,0.175,10,-5.0,0,-5.0
46,-10,0.175,10,-5.0,0,-5.0
47,-10,0.175,10,-5.0,0,-5.0
48,-10,0.175,10,-5.0,0,-5.0
49,-10,0.175,10,-5.0,0,-5.0
50,-10,0.175,10,-5.0,0,-5.0
51,-10,0.175,10,-5.0,0,-5.0
52,-10,0.175,10,-5.0,0,-5.0
53,-10,0.175,10,-5.0,0,-5.0
54,-10,0.175,10,-5.0,0,-5.0
55,-10,0.175,10,-5.0,0,-5.0
56,-10,0.175,10,-5.0,0,-5.0
57,-10,0.175,10,-5.0,0,-5.0
58,-10,0.175,10,-5.0,0,-5.0
59,-10,0.175,10,-5.0,0,-5.0
60,-10,0.175,10,-5.0,0,-5.0
61,-10,0.175,10,-5.0,0,-5.0
62,-10,0.175,10,-5.0,0,-5.0
63,-10,0.175,10,-5.0,0,-5.0
64,-10,0.175,10,-5.0,0,-5.0
65,-10,0.175,10,-5.0,0,-5.0
66,-10,0.175,10,-5.0,0,-5.0
67,-10,0.175,10,-5.0,0,-5.0
68,-10,0.175,10,-5.0,0,-5.0
69,-10,0.175,10,-5.0,0,-5.0
70,-10,0.175,10,-5.0,0,-5.0
71,-10,0.175,10,-5.0,0,-5.0
72,-10,0.175,10,-5.0,0,-5.0
73,-10,0.175,10,-5.0,0,-5.0
74,-10,0.175,10,-5.0,0,-5.0
75,-10,0.175,10,-5.0,0,-5.0
76,-10,0.175,10,-5.0,0,-5.0
77,-10,0.175,10,-5.0,0,-5.0
78,-10,0.175,10,-5.0,0,-5.0
79,-10,0.175,10,-5.0,0,-5.0
80,-10,0.175,10,-5.0,0,-5.0
81,-10,0.175,10,-5.0,0,-5.0
82,-10,0.175,10,-5.0,0,-5.0
83,-10,0.175,10,-5.0,0,-5.0
84,-10,0.175,10,-5.0,0,-5.0
85,-10,0.175,10,-5.0,0,-5.0
86,-10,0.175,10,-5.0,0,-5.0
87,-10,0.175,10,-5.0,0,-5.0
88,-10,0.175,10,-5.0,0,-5.0
89,-10,0.175,10,-5.0,0,-5.0
90,-10,0.175,10,-5.0,0,-5.0
91,-10,0.175,10,-5.0,0,-5.0
92,-10,0.175,10,-5.0,0,-5.0
93,-10,0.175,10,-5.0,0,-5.0
94,-10,0.175,10,-5.0,0,-5.0
95,-10,0.175,10,-5.0,0,-5.0
96,-10,0.175,10,-5.0,0,-5.0
97,-10,0.175,10,-5.0,0,-5.0
98,-10,0.175,10,-5.0,0,-5.0
99,-10,0.175,10,-5.0,0,-5.0
100,-10,0.175,10,-5.0,0,-5.0
101,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
102,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
103,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
104,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
105,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
106,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
107,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
108,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
109,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
110,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
111,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
112,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
113,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
114,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
115,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
116,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
117,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
118,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
119,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
120,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
121,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
122,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
123,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
124,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
125,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
126,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
127,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
128,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
129,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
130,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
131,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
132,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
133,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
134,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
135,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
136,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
137,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
138,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
139,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
140,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
141,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
142,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
143,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
144,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
145,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
146,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
147,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
148,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
149,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
150,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
151,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
152,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
153,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
154,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
155,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
156,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
157,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
158,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
159,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
160,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
161,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
162,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
163,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
164,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
165,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
166,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
167,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
168,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
169,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
170,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
171,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
172,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
173,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
174,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
175,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
176,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
177,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
178,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
179,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
180,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
181,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
182,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
183,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
184,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
185,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
186,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
187,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
188,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
189,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
190,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
191,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
192,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
193,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
194,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
195,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
196,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
197,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
198,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
199,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
200,-10,0.175,10,-4.932885906040268,0,-4.932885906040268
201,-10,0.175,10,-4.865771812080537,0,-4.865771812080537
202,-10,0.175,10,-4.865771812080537,0,-4.865771812080537
203,-10,0.175,10,-4.865771812080537,0,-4.865771812080537
204,-10,0.175,10,-4.865771812080537,0,-4.865771812080537
205,-10,0.175,10,-4.865771812080537,0,-4.865771812080537
206,-10,0.175,10,-4.865771812080537,0,-4.865771812080537
207,-10,0.175,10,-4.865771812080537,0,-4.865771812080537
208,-10,0.175,10,-4.865771812080537,0,-4.865771812080537
209,-10,0.175,10,-4.865771812080537,0,-4.865771812080537
210,-10,0.175,10,-4.865771812080537,0,-4.865771812080537
211,-10,0.175,10,-4.865771812080537,0,-4.865771812080537
