Trial,S1_A_val,S1_A_std,S1_B_val,S2_A_val,S2_A_std,S2_B_val
132,-4.932885906040268,8,-4.932885906040268,0,0.18,0
133,-4.932885906040268,8,-4.932885906040268,0,0.18,0
134,-4.932885906040268,8,-4.932885906040268,0,0.18,0
135,-4.932885906040268,8,-4.932885906040268,0,0.18,0
136,-4.932885906040268,8,-4.932885906040268,0,0.18,0
137,-4.932885906040268,8,-4.932885906040268,0,0.18,0
138,-4.932885906040268,8,-4.932885906040268,0,0.18,0
139,-4.932885906040268,8,-4.932885906040268,0,0.18,0
140,-4.932885906040268,8,-4.932885906040268,0,0.18,0
141,-4.932885906040268,8,-4.932885906040268,0,0.18,0
142,-4.932885906040268,8,-4.932885906040268,0,0.18,0
143,-4.932885906040268,8,-4.932885906040268,0,0.18,0
144,-4.932885906040268,8,-4.932885906040268,0,0.18,0
145,-4.932885906040268,8,-4.932885906040268,0,0.18,0
146,-4.932885906040268,8,-4.932885906040268,0,0.18,0
147,-4.932885906040268,8,-4.932885906040268,0,0.18,0
148,-4.932885906040268,8,-4.932885906040268,0,0.18,0
149,-4.932885906040268,8,-4.932885906040268,0,0.18,0
150,-4.932885906040268,8,-4.932885906040268,0,0.18,0
151,-4.932885906040268,8,-4.932885906040268,0,0.18,0
152,-4.932885906040268,8,-4.932885906040268,0,0.18,0
153,-4.932885906040268,8,-4.932885906040268,0,0.18,0
154,-4.932885906040268,8,-4.932885906040268,0,0.18,0
155,-4.932885906040268,8,-4.932885906040268,0,0.18,0
156,-4.932885906040268,8,-4.932885906040268,0,0.18,0
157,-4.932885906040268,8,-4.932885906040268,0,0.18,0
158,-4.932885906040268,8,-4.932885906040268,0,0.18,0
159,-4.932885906040268,8,-4.932885906040268,0,0.18,0
160,-4.932885906040268,8,-4.932885906040268,0,0.18,0
161,-4.932885906040268,8,-4.932885906040268,0,0.18,0
162,-4.932885906040268,8,-4.932885906040268,0,0.18,0
163,-4.932885906040268,8,-4.932885906040268,0,0.18,0
164,-4.932885906040268,8,-4.932885906040268,0,0.18,0
165,-4.932885906040268,8,-4.932885906040268,0,0.18,0
166,-4.932885906040268,8,-4.932885906040268,0,0.18,0
167,-4.932885906040268,8,-4.932885906040268,0,0.18,0
168,-4.932885906040268,8,-4.932885906040268,0,0.18,0
169,-4.932885906040268,8,-4.932885906040268,0,0.18,0
170,-4.932885906040268,8,-4.932885906040268,0,0.18,0
171,-4.932885906040268,8,-4.932885906040268,0,0.18,0
172,-4.932885906040268,8,-4.932885906040268,0,0.18,0
173,-4.932885906040268,8,-4.932885906040268,0,0.18,0
174,-4.932885906040268,8,-4.932885906040268,0,0.18,0
175,-4.932885906040268,8,-4.932885906040268,0,0.18,0
176,-4.932885906040268,8,-4.932885906040268,0,0.18,0
177,-4.932885906040268,8,-4.932885906040268,0,0.18,0
178,-4.932885906040268,8,-4.932885906040268,0,0.18,0
179,-4.932885906040268,8,-4.932885906040268,0,0.18,0
180,-4.932885906040268,8,-4.932885906040268,0,0.18,0
181,-4.932885906040268,8,-4.932885906040268,0,0.18,0
182,-4.932885906040268,8,-4.932885906040268,0,0.18,0
183,-4.932885906040268,8,-4.932885906040268,0,0.18,0
184,-4.932885906040268,8,-4.932885906040268,0,0.18,0
185,-4.932885906040268,8,-4.932885906040268,0,0.18,0
186,-4.932885906040268,8,-4.932885906040268,0,0.18,0
187,-4.932885906040268,8,-4.932885906040268,0,0.18,0
188,-4.932885906040268,8,-4.932885906040268,0,0.18,0
189,-4.932885906040268,8,-4.932885906040268,0,0.18,0
190,-4.932885906040268,8,-4.932885906040268,0,0.18,0
191,-4.932885906040268,8,-4.932885906040268,0,0.18,0
192,-4.932885906040268,8,-4.932885906040268,0,0.18,0
193,-4.932885906040268,8,-4.932885906040268,0,0.18,0
194,-4.932885906040268,8,-4.932885906040268,0,0.18,0
195,-4.932885906040268,8,-4.932885906040268,0,0.18,0
196,-4.932885906040268,8,-4.932885906040268,0,0.18,0
197,-4.932885906040268,8,-4.932885906040268,0,0.18,0
198,-4.932885906040268,8,-4.932885906040268,0,0.18,0
199,-4.932885906040268,8,-4.932885906040268,0,0.18,0
200,-4.932885906040268,8,-4.932885906040268,0,0.18,0
201,-4.865771812080537,8,-4.865771812080537,0,0.18,0
202,-4.865771812080537,8,-4.865771812080537,0,0.18,0
203,-4.865771812080537,8,-4.865771812080537,0,0.18,0
204,-4.865771812080537,8,-4.865771812080537,0,0.18,0
205,-4.865771812080537,8,-4.865771812080537,0,0.18,0
206,-4.865771812080537,8,-4.865771812080537,0,0.18,0
207,-4.865771812080537,8,-4.865771812080537,0,0.18,0
208,-4.865771812080537,8,-4.865771812080537,0,0.18,0
209,-4.865771812080537,8,-4.865771812080537,0,0.18,0
210,-4.865771812080537,8,-4.865771812080537,0,0.18,0
211,-4.865771812080537,8,-4.865771812080537,0,0.18,0
212,-4.865771812080537,8,-4.865771812080537,0,0.18,0
213,-4.865771812080537,8,-4.865771812080537,0,0.18,0
214,-4.865771812080537,8,-4.865771812080537,0,0.18,0
215,-4.865771812080537,8,-4.865771812080537,0,0.18,0
216,-4.865771812080537,8,-4.865771812080537,0,0.18,0
217,-4.865771812080537,8,-4.865771812080537,0,0.18,0
218,-4.865771812080537,8,-4.865771812080537,0,0.18,0
219,-4.865771812080537,8,-4.865771812080537,0,0.18,0
220,-4.865771812080537,8,-4.865771812080537,0,0.18,0
221,-4.865771812080537,8,-4.865771812080537,0,0.18,0
222,-4.865771812080537,8,-4.865771812080537,0,0.18,0
223,-4.865771812080537,8,-4.865771812080537,0,0.18,0
224,-4.865771812080537,8,-4.865771812080537,0,0.18,0
225,-4.865771812080537,8,-4.865771812080537,0,0.18,0
226,-4.865771812080537,8,-4.865771812080537,0,0.18,0
227,-4.865771812080537,8,-4.865771812080537,0,0.18,0
228,-4.865771812080537,8,-4.865771812080537,0,0.18,0
229,-4.865771812080537,8,-4.865771812080537,0,0.18,0
230,-4.865771812080537,8,-4.865771812080537,0,0.18,0
231,-4.865771812080537,8,-4.865771812080537,0,0.18,0
232,-4.865771812080537,8,-4.865771812080537,0,0.18,0
233,-4.865771812080537,8,-4.865771812080537,0,0.18,0
234,-4.865771812080537,8,-4.865771812080537,0,0.18,0
235,-4.865771812080537,8,-4.865771812080537,0,0.18,0
236,-4.865771812080537,8,-4.865771812080537,0,0.18,0
237,-4.865771812080537,8,-4.865771812080537,0,0.18,0
238,-4.865771812080537,8,-4.865771812080537,0,0.18,0
239,-4.865771812080537,8,-4.865771812080537,0,0.18,0
240,-4.865771812080537,8,-4.865771812080537,0,0.18,0
241,-4.865771812080537,8,-4.865771812080537,0,0.18,0
242,-4.865771812080537,8,-4.865771812080537,0,0.18,0
243,-4.865771812080537,8,-4.865771812080537,0,0.18,0
244,-4.865771812080537,8,-4.865771812080537,0,0.18,0
245,-4.865771812080537,8,-4.865771812080537,0,0.18,0
246,-4.865771812080537,8,-4.865771812080537,0,0.18,0
247,-4.865771812080537,8,-4.865771812080537,0,0.18,0
248,-4.865771812080537,8,-4.865771812080537,0,0.18,0
249,-4.865771812080537,8,-4.865771812080537,0,0.18,0
250,-4.865771812080537,8,-4.865771812080537,0,0.18,0
251,-4.865771812080537,8,-4.865771812080537,0,0.18,0
252,-4.865771812080537,8,-4.865771812080537,0,0.18,0
253,-4.865771812080537,8,-4.865771812080537,0,0.18,0
254,-4.865771812080537,8,-4.865771812080537,0,0.18,0
255,-4.865771812080537,8,-4.865771812080537,0,0.18,0
256,-4.865771812080537,8,-4.865771812080537,0,0.18,0
257,-4.865771812080537,8,-4.865771812080537,0,0.18,0
258,-4.865771812080537,8,-4.865771812080537,0,0.18,0
259,-4.865771812080537,8,-4.865771812080537,0,0.18,0
260,-4.865771812080537,8,-4.865771812080537,0,0.18,0
261,-4.865771812080537,8,-4.865771812080537,0,0.18,0
262,-4.865771812080537,8,-4.865771812080537,0,0.18,0
263,-4.865771812080537,8,-4.865771812080537,0,0.18,0
264,-4.865771812080537,8,-4.865771812080537,0,0.18,0
265,-4.865771812080537,8,-4.865771812080537,0,0.18,0
266,-4.865771812080537,8,-4.865771812080537,0,0.18,0
267,-4.865771812080537,8,-4.865771812080537,0,0.18,0
268,-4.865771812080537,8,-4.865771812080537,0,0.18,0
269,-4.865771812080537,8,-4.865771812080537,0,0.18,0
270,-4.865771812080537,8,-4.865771812080537,0,0.18,0
271,-4.865771812080537,8,-4.865771812080537,0,0.18,0
