Trial,S1_A_val,S1_A_std,S1_B_val,S2_A_val,S2_A_std,S2_B_val
132,0,8,0,-4.932885906040268,0.18,-4.932885906040268
133,0,8,0,-4.932885906040268,0.18,-4.932885906040268
134,0,8,0,-4.932885906040268,0.18,-4.932885906040268
135,0,8,0,-4.932885906040268,0.18,-4.932885906040268
136,0,8,0,-4.932885906040268,0.18,-4.932885906040268
137,0,8,0,-4.932885906040268,0.18,-4.932885906040268
138,0,8,0,-4.932885906040268,0.18,-4.932885906040268
139,0,8,0,-4.932885906040268,0.18,-4.932885906040268
140,0,8,0,-4.932885906040268,0.18,-4.932885906040268
141,0,8,0,-4.932885906040268,0.18,-4.932885906040268
142,0,8,0,-4.932885906040268,0.18,-4.932885906040268
143,0,8,0,-4.932885906040268,0.18,-4.932885906040268
144,0,8,0,-4.932885906040268,0.18,-4.932885906040268
145,0,8,0,-4.932885906040268,0.18,-4.932885906040268
146,0,8,0,-4.932885906040268,0.18,-4.932885906040268
147,0,8,0,-4.932885906040268,0.18,-4.932885906040268
148,0,8,0,-4.932885906040268,0.18,-4.932885906040268
149,0,8,0,-4.932885906040268,0.18,-4.932885906040268
150,0,8,0,-4.932885906040268,0.18,-4.932885906040268
151,0,8,0,-4.932885906040268,0.18,-4.932885906040268
152,0,8,0,-4.932885906040268,0.18,-4.932885906040268
153,0,8,0,-4.932885906040268,0.18,-4.932885906040268
154,0,8,0,-4.932885906040268,0.18,-4.932885906040268
155,0,8,0,-4.932885906040268,0.18,-4.932885906040268
156,0,8,0,-4.932885906040268,0.18,-4.932885906040268
157,0,8,0,-4.932885906040268,0.18,-4.932885906040268
158,0,8,0,-4.932885906040268,0.18,-4.932885906040268
159,0,8,0,-4.932885906040268,0.18,-4.932885906040268
160,0,8,0,-4.932885906040268,0.18,-4.932885906040268
161,0,8,0,-4.932885906040268,0.18,-4.932885906040268
162,0,8,0,-4.932885906040268,0.18,-4.932885906040268
163,0,8,0,-4.932885906040268,0.18,-4.932885906040268
164,0,8,0,-4.932885906040268,0.18,-4.932885906040268
165,0,8,0,-4.932885906040268,0.18,-4.932885906040268
166,0,8,0,-4.932885906040268,0.18,-4.932885906040268
167,0,8,0,-4.932885906040268,0.18,-4.932885906040268
168,0,8,0,-4.932885906040268,0.18,-4.932885906040268
169,0,8,0,-4.932885906040268,0.18,-4.932885906040268
170,0,8,0,-4.932885906040268,0.18,-4.932885906040268
171,0,8,0,-4.932885906040268,0.18,-4.932885906040268
172,0,8,0,-4.932885906040268,0.18,-4.932885906040268
173,0,8,0,-4.932885906040268,0.18,-4.932885906040268
174,0,8,0,-4.932885906040268,0.18,-4.932885906040268
175,0,8,0,-4.932885906040268,0.18,-4.932885906040268
176,0,8,0,-4.932885906040268,0.18,-4.932885906040268
177,0,8,0,-4.932885906040268,0.18,-4.932885906040268
178,0,8,0,-4.932885906040268,0.18,-4.932885906040268
179,0,8,0,-4.932885906040268,0.18,-4.932885906040268
180,0,8,0,-4.932885906040268,0.18,-4.932885906040268
181,0,8,0,-4.932885906040268,0.18,-4.932885906040268
182,0,8,0,-4.932885906040268,0.18,-4.932885906040268
183,0,8,0,-4.932885906040268,0.18,-4.932885906040268
184,0,8,0,-4.932885906040268,0.18,-4.932885906040268
185,0,8,0,-4.932885906040268,0.18,-4.932885906040268
186,0,8,0,-4.932885906040268,0.18,-4.932885906040268
187,0,8,0,-4.932885906040268,0.18,-4.932885906040268
188,0,8,0,-4.932885906040268,0.18,-4.932885906040268
189,0,8,0,-4.932885906040268,0.18,-4.932885906040268
190,0,8,0,-4.932885906040268,0.18,-4.932885906040268
191,0,8,0,-4.932885906040268,0.18,-4.932885906040268
192,0,8,0,-4.932885906040268,0.18,-4.932885906040268
193,0,8,0,-4.932885906040268,0.18,-4.932885906040268
194,0,8,0,-4.932885906040268,0.18,-4.932885906040268
195,0,8,0,-4.932885906040268,0.18,-4.932885906040268
196,0,8,0,-4.932885906040268,0.18,-4.932885906040268
197,0,8,0,-4.932885906040268,0.18,-4.932885906040268
198,0,8,0,-4.932885906040268,0.18,-4.932885906040268
199,0,8,0,-4.932885906040268,0.18,-4.932885906040268
200,0,8,0,-4.932885906040268,0.18,-4.932885906040268
201,0,8,0,-4.865771812080537,0.18,-4.865771812080537
202,0,8,0,-4.865771812080537,0.18,-4.865771812080537
203,0,8,0,-4.865771812080537,0.18,-4.865771812080537
204,0,8,0,-4.865771812080537,0.18,-4.865771812080537
205,0,8,0,-4.865771812080537,0.18,-4.865771812080537
206,0,8,0,-4.865771812080537,0.18,-4.865771812080537
207,0,8,0,-4.865771812080537,0.18,-4.865771812080537
208,0,8,0,-4.865771812080537,0.18,-4.865771812080537
209,0,8,0,-4.865771812080537,0.18,-4.865771812080537
210,0,8,0,-4.865771812080537,0.18,-4.865771812080537
211,0,8,0,-4.865771812080537,0.18,-4.865771812080537
212,0,8,0,-4.865771812080537,0.18,-4.865771812080537
213,0,8,0,-4.865771812080537,0.18,-4.865771812080537
214,0,8,0,-4.865771812080537,0.18,-4.865771812080537
215,0,8,0,-4.865771812080537,0.18,-4.865771812080537
216,0,8,0,-4.865771812080537,0.18,-4.865771812080537
217,0,8,0,-4.865771812080537,0.18,-4.865771812080537
218,0,8,0,-4.865771812080537,0.18,-4.865771812080537
219,0,8,0,-4.865771812080537,0.18,-4.865771812080537
220,0,8,0,-4.865771812080537,0.18,-4.865771812080537
221,0,8,0,-4.865771812080537,0.18,-4.865771812080537
222,0,8,0,-4.865771812080537,0.18,-4.865771812080537
223,0,8,0,-4.865771812080537,0.18,-4.865771812080537
224,0,8,0,-4.865771812080537,0.18,-4.865771812080537
225,0,8,0,-4.865771812080537,0.18,-4.865771812080537
226,0,8,0,-4.865771812080537,0.18,-4.865771812080537
227,0,8,0,-4.865771812080537,0.18,-4.865771812080537
228,0,8,0,-4.865771812080537,0.18,-4.865771812080537
229,0,8,0,-4.865771812080537,0.18,-4.865771812080537
230,0,8,0,-4.865771812080537,0.18,-4.865771812080537
231,0,8,0,-4.865771812080537,0.18,-4.865771812080537
232,0,8,0,-4.865771812080537,0.18,-4.865771812080537
233,0,8,0,-4.865771812080537,0.18,-4.865771812080537
234,0,8,0,-4.865771812080537,0.18,-4.865771812080537
235,0,8,0,-4.865771812080537,0.18,-4.865771812080537
236,0,8,0,-4.865771812080537,0.18,-4.865771812080537
237,0,8,0,-4.865771812080537,0.18,-4.865771812080537
238,0,8,0,-4.865771812080537,0.18,-4.865771812080537
239,0,8,0,-4.865771812080537,0.18,-4.865771812080537
240,0,8,0,-4.865771812080537,0.18,-4.865771812080537
241,0,8,0,-4.865771812080537,0.18,-4.865771812080537
242,0,8,0,-4.865771812080537,0.18,-4.865771812080537
243,0,8,0,-4.865771812080537,0.18,-4.865771812080537
244,0,8,0,-4.865771812080537,0.18,-4.865771812080537
245,0,8,0,-4.865771812080537,0.18,-4.865771812080537
246,0,8,0,-4.865771812080537,0.18,-4.865771812080537
247,0,8,0,-4.865771812080537,0.18,-4.865771812080537
248,0,8,0,-4.865771812080537,0.18,-4.865771812080537
249,0,8,0,-4.865771812080537,0.18,-4.865771812080537
250,0,8,0,-4.865771812080537,0.18,-4.865771812080537
251,0,8,0,-4.865771812080537,0.18,-4.865771812080537
252,0,8,0,-4.865771812080537,0.18,-4.865771812080537
253,0,8,0,-4.865771812080537,0.18,-4.865771812080537
254,0,8,0,-4.865771812080537,0.18,-4.865771812080537
255,0,8,0,-4.865771812080537,0.18,-4.865771812080537
256,0,8,0,-4.865771812080537,0.18,-4.865771812080537
257,0,8,0,-4.865771812080537,0.18,-4.865771812080537
258,0,8,0,-4.865771812080537,0.18,-4.865771812080537
259,0,8,0,-4.865771812080537,0.18,-4.865771812080537
260,0,8,0,-4.865771812080537,0.18,-4.865771812080537
261,0,8,0,-4.865771812080537,0.18,-4.865771812080537
