Trial,S1_A_val,S1_A_std,S1_B_val,S2_A_val,S2_A_std,S2_B_val,Decision (S1>S2)
117,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
118,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,1
119,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,1
120,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,1
121,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
122,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
123,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
124,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
125,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,1
126,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
127,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
128,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
129,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
130,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,1
131,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
132,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
133,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
134,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
135,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,1
136,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
137,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,1
138,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
139,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,1
140,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
141,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,1
142,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
143,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
144,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
145,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
146,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,1
147,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,1
148,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
149,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,1
150,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
151,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,1
152,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,1
153,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,1
154,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
155,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
156,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
157,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
158,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
159,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
160,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
161,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
162,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,0
163,-9.899497487437186,0,-9.899497487437186,-9.899497487437186,8,-9.899497487437186,1
