Trial,M,mu_prior,v_prior,K
1,0.34081637138643556,3.847902451141529,0.5282530746579076,0.1317339338298693
2,1.8811270581389559,3.6189696147784507,0.466764368255939,0.11640009183436972
3,-0.3108799277136307,3.2092286527459972,0.418097751576671,0.10426377844802162
4,1.6370285924785155,3.060782672755528,0.3786212676144128,0.09441926873175022
5,1.4777218431447512,2.924206636349535,0.3459563244470027,0.08627339761768488
6,4.361786369623368,3.038381289073112,0.3184799749360726,0.07942144013366413
7,4.568407108202557,3.150957201945384,0.295046923374651,0.07357778637770011
8,-2.1795878438281306,2.785627637910751,0.2748258459875112,0.06853512368764157
9,1.0001434418518842,2.671107883242401,0.25719870118920807,0.06413932697983639
10,0.2925322164556067,2.527742969860893,0.24169645333865342,0.06027342976024767
11,4.337323104557605,2.630612284589307,0.22795671998807568,0.05684706234115184
12,-0.6565776596102213,2.4537966427204014,0.21569508788064448,0.05378929872333932
13,-1.7278170711679681,2.240351631014123,0.20468521377277038,0.05104369420766068
14,0.4270953222106487,2.1522912572573025,0.19474472365021347,0.048564768990066065
15,4.317521178292251,2.2525748964136336,0.18572503045070216,0.04631546894031317
16,-0.37441800327122415,2.1362902655699334,0.17750385611597683,0.04426530077704054
17,3.4878202289479083,2.193580190164375,0.16997965553762606,0.0423889415305695
18,-0.22594489473068158,2.0951897494477176,0.16306740101064396,0.04066518728443973
19,-1.548813775192222,1.952796126978881,0.15669535505089743,0.03907614839173525
20,-1.170550487338108,1.8353375981032263,0.15080257139327843,0.0376066262826037
21,0.1544636292192938,1.774416630970969,0.14533693942718295,0.03624362579230592
22,1.6015307196960094,1.7683697785541732,0.14025363901858423,0.03497596983006216
23,2.0215712361713414,1.7769264666326412,0.13551390863849058,0.03379399217916628
24,-1.4339309388264196,1.671965815991042,0.13108405510544383,0.03268929054997784
25,1.05077939114529,1.6523024538226687,0.12693465140481178,0.03165452653485788
26,0.6165952859974076,1.6205235790317194,0.12303988218920772,0.030683262391315965
27,0.19505074082769092,1.5780874992754323,0.11937700618494529,0.02976982697878193
28,-0.6909655191944426,1.5124909805235551,0.11592591184690539,0.02890920494934576
29,-0.08549246861480575,1.4675925280511841,0.11266874792184656,0.028096944618907344
30,-2.2532172166415365,1.3659062173571337,0.10958961458990656,0.02732908094510704
31,-6.26345911727215,1.1629493005743816,0.1066743039037578,0.026602070798935465
32,0.4381748368202067,1.1441684095685372,0.10391008058335628,0.025912738300082384
33,3.7411606381961664,1.209763832527494,0.10128549603110815,0.025258228436679027
34,3.0712309497810026,1.2556228760063723,0.09879022983853443,0.024635967540775506
35,-2.4143513357774253,1.1673833759095822,0.09641495415746575,0.024043629465696187
36,-1.9977891521056694,1.0930679529443452,0.09415121717789612,0.02347910652814779
37,-0.5317675113996672,1.0557934402408498,0.09199134264428364,0.022940484449940325
38,1.4063024991428912,1.0636539636413185,0.08992834289254824,0.022426020671452822
39,-1.9754216672302851,0.9969944972915904,0.08795584333181392,0.021934125519150117
40,0.8766794973505595,0.9944121348431278,0.08606801665139785,0.021463345798348226
41,-2.433135997775504,0.9223912922808539,0.08425952532259433,0.021012350454507063
42,0.08786525900177189,0.9052168149428826,0.08252547120031008,0.020579918005059726
43,-2.321930841185672,0.8401416229058225,0.08086135122237526,0.020164925491859127
44,-1.4650952657101324,0.7945755296806376,0.07926301836282895,0.01976633874384269
45,1.239859897409159,0.8032065673168688,0.07772664712630724,0.019383203772141613
46,0.43242823967551325,0.7961563512132761,0.0762487029791018,0.01901463914690344
47,0.1596971143856493,0.7842801305437453,0.07482591520268593,0.018659829227597822
48,0.3160538246719362,0.7757031525803935,0.07345525273085808,0.018318018137366526
49,0.7944572499246807,0.776040510742759,0.07213390259480737,0.017988504387728022
50,3.4666604742637297,0.8235854769294019,0.07085925065351548,0.017670636073191474
51,1.248080132177204,0.8309563200116418,0.06962886433172003,0.017363806566509394
52,0.13279268339456207,0.8190404465947342,0.06844047712559163,0.017067450654756754
53,-1.0731614895333066,0.7872873282023306,0.06729197466847626,0.01678104106445374
54,-0.40086128160074386,0.7676780221604852,0.06618138217647061,0.01650408533078656
55,-2.2081953090867925,0.7193613768057991,0.06510685311700852,0.016236122971818527
56,-0.7973910843820915,0.6951286429745713,0.06406665896368065,0.015976722933582214
57,0.07839290565694046,0.6854301766849982,0.06305917991771638,0.01572548127623458
58,1.8095524648498964,0.7028338593931684,0.06208289649136698,0.01548201907515
59,1.561328804317764,0.7159224565948672,0.06113638186120613,0.015245980514012691
60,-1.5535222086675764,0.6818421353640424,0.060218294910414874,0.015017031149725652
61,1.5682868438580573,0.6949569574718898,0.0593273738886969,0.01479485633134217
62,1.8810296706180814,0.7122489010406238,0.05846243062679245,0.014579159757301214
63,-0.7097371522692701,0.6918154418625165,0.057622345249805175,0.014369662157055063
64,-0.2291199077685656,0.6787693795280546,0.05680606133987818,0.01416610008475412
65,0.5960390788772648,0.6776137840896319,0.05601258150428306,0.013968224814032194
66,0.505903255547262,0.6752483339631686,0.05524096330982768,0.01377580132414312
67,2.17044207036551,0.6955659345873683,0.05449031554873839,0.013588607368759303
68,1.61988762368708,0.7079577910311876,0.05375979480490942,0.013406432619674814
69,-3.0279962021778974,0.658534564704619,0.05304860229270435,0.013229077878476589
70,-0.1957298674222811,0.6473809855701927,0.05235598094340007,0.013056354349971825
71,-0.9666718924184026,0.6265789381578029,0.05168121271693154,0.012888082971800165
72,-1.5228079303684061,0.5992299380404476,0.05102361611887026,0.012724093795226318
73,-0.2064417502826077,0.589107297339797,0.0503825439045862,0.012564225412611879
74,1.3623600258533746,0.5987020680596522,0.04975738095433473,0.012408324427511804
75,2.0161058914136127,0.6160741165312181,0.049147542304604344,0.012256244963738677
76,-4.388953892158091,0.5554739971147489,0.04855247132248112,0.012107848210092023
77,-2.725257199674045,0.5162266032534312,0.0479716380110538,0.011963001997766043
78,0.686787499986889,0.5182429026085805,0.047404537435015534,0.011821580407731598
79,0.5167206856015626,0.5182251178418836,0.04685068825663219,0.011683463405641024
80,-4.229242177391418,0.4633988184906842,0.046309631373155205,0.011548536502030837
81,-1.1501289352591029,0.44497767161655016,0.04578092864757185,0.011416690435800608
82,3.4656366334666817,0.4790743289148497,0.04526416172531788,0.011287820879128826
83,0.47551238147035835,0.47903457106955166,0.04475893093023608,0.011161828162150852
84,-0.9369794129389439,0.46340373501096294,0.044264854233657336,0.011038617015871896
85,-2.6386145064015807,0.42953560102784333,0.0437815662910158,0.01091809633192142
86,-0.475325068166856,0.4197629438866946,0.04330871754089237,0.010800178937875701
87,-1.4223496426293085,0.4000803736095591,0.04284597336181729,0.01068478138698419
